ubigeo,departamento,provincia,distrito,capital_legal,latitud,longitud
150612,Lima,Huaral,Veintisiete de Noviembre,Carac,-11.19222222,-76.77972222
150701,Lima,Huarochirí,Matucana,Matucana,-11.845,-76.38611111
150702,Lima,Huarochirí,Antioquía,Antioquía,-12.08083333,-76.51083333
150703,Lima,Huarochirí,Callahuanca,Callahuanca,-11.82638889,-76.61888889
150704,Lima,Huarochirí,Carampoma,Carampoma,-11.65638889,-76.51638889
150705,Lima,Huarochirí,Chicla,Chicla,-11.70638889,-76.26805556
150706,Lima,Huarochirí,Cuenca,San José de Los Chorrillos,-12.13222222,-76.43527778
150707,Lima,Huarochirí,Huachupampa,San Lorenzo de Huachupampa,-11.72111111,-76.58861111
150708,Lima,Huarochirí,Huanza,Huanza,-11.65611111,-76.50361111
150709,Lima,Huarochirí,Huarochirí,Huarochirí,-12.13611111,-76.23194444
150710,Lima,Huarochirí,Lahuaytambo,Lahuaytambo,-12.09638889,-76.38888889
150711,Lima,Huarochirí,Langa,Langa,-12.12555556,-76.42111111
150712,Lima,Huarochirí,San Pedro de Laraos,Laraos,-11.66444444,-76.53944444
150713,Lima,Huarochirí,Mariatana,Mariatana,-12.23722222,-76.32611111
150714,Lima,Huarochirí,Ricardo Palma,Ricardo Palma,-11.92361111,-76.665
150715,Lima,Huarochirí,San Andrés de Tupicocha,San Andrés de Tupicocha,-12.00222222,-76.47472222
150716,Lima,Huarochirí,San Antonio,Chaclla,-11.74361111,-76.65
150717,Lima,Huarochirí,San Bartolomé,San Bartolomé,-11.91194444,-76.52916667
150718,Lima,Huarochirí,San Damian,San Damián,-12.01777778,-76.39194444
150719,Lima,Huarochirí,San Juan de Iris,San Juan de Iris,-11.68305556,-76.525
150720,Lima,Huarochirí,San Juan de Tantaranche,San Juan de Tantaranche,-12.11361111,-76.1825
150721,Lima,Huarochirí,San Lorenzo de Quinti,San Lorenzo de Quinti,-12.14527778,-76.2125
150722,Lima,Huarochirí,San Mateo,San Mateo,-11.75916667,-76.30055556
150723,Lima,Huarochirí,San Mateo de Otao,San Juan de Lanca,-11.87027778,-76.54388889
150724,Lima,Huarochirí,San Pedro de Casta,San Pedro de Casta,-11.75888889,-76.59638889
150725,Lima,Huarochirí,San Pedro de Huancayre,San Pedro,-12.13138889,-76.21555556
150726,Lima,Huarochirí,Sangallaya,Sangallaya,-12.16083333,-76.22888889
150727,Lima,Huarochirí,Santa Cruz de Cocachacra,Cocachacra,-11.91166667,-76.53944444
150728,Lima,Huarochirí,Santa Eulalia,Santa Eulalia,-11.90166667,-76.66388889
150729,Lima,Huarochirí,Santiago de Anchucaya,Santiago de Anchucaya,-12.09555556,-76.23055556
150730,Lima,Huarochirí,Santiago de Tuna,Santiago de Tuna,-11.98388889,-76.52527778
150731,Lima,Huarochirí,Santo Domingo de Los Olleros,Santo Domingo de Los Olleros,-12.21888889,-76.51416667
150732,Lima,Huarochirí,Surco,Surco,-11.8825,-76.43611111
150801,Lima,Huaura,Huacho,Huacho,-11.10805556,-77.61027778
150802,Lima,Huaura,Ambar,Ambar,-10.75611111,-77.27194444
150803,Lima,Huaura,Caleta de Carquín,Caleta de Carquín,-11.09166667,-77.62833333
150804,Lima,Huaura,Checras,Maray,-10.91805556,-76.82555556
150805,Lima,Huaura,Hualmay,Hualmay,-11.09666667,-77.61305556
150806,Lima,Huaura,Huaura,Huaura,-11.06972222,-77.59916667
150807,Lima,Huaura,Leoncio Prado,Santa Cruz,-11.06111111,-76.93027778
150808,Lima,Huaura,Paccho,Paccho,-10.9575,-76.93333333
150809,Lima,Huaura,Santa Leonor,Jucul,-10.94861111,-76.745
150810,Lima,Huaura,Santa María,Cruz Blanca,-11.09666667,-77.595
150811,Lima,Huaura,Sayán,Sayán,-11.13527778,-77.19361111
150812,Lima,Huaura,Vegueta,Vegueta,-11.02333333,-77.64388889
150901,Lima,Oyón,Oyón,Oyón,-10.66805556,-76.77333333
150902,Lima,Oyón,Andajes,Andajes,-10.79277778,-76.90916667
150903,Lima,Oyón,Caujul,Caujul,-10.80583333,-76.97916667
150904,Lima,Oyón,Cochamarca,Cochamarca,-10.86333333,-77.12888889
150905,Lima,Oyón,Naván,Naván,-10.83777778,-77.01444444
150906,Lima,Oyón,Pachangara,Churin,-10.81111111,-76.875
151001,Lima,Yauyos,Yauyos,Yauyos,-12.45972222,-75.91833333
151002,Lima,Yauyos,Alis,Alis,-12.28111111,-75.78638889
151003,Lima,Yauyos,Allauca,Allauca,-12.59111111,-76.03694444
151004,Lima,Yauyos,Ayaviri,Ayaviri,-12.3825,-76.13694444
151005,Lima,Yauyos,Azángaro,Azángaro,-13,-75.83722222
151006,Lima,Yauyos,Cacra,Cacra,-12.8125,-75.78305556
151007,Lima,Yauyos,Carania,Carania,-12.34555556,-75.86944444
151008,Lima,Yauyos,Catahuasi,Catahuasi,-12.79944444,-75.89138889
151009,Lima,Yauyos,Chocos,Chocos,-12.91444444,-75.86277778
151010,Lima,Yauyos,Cochas,Cochas,-12.29416667,-76.1575
151011,Lima,Yauyos,Colonia,Colonia,-12.63388889,-75.89027778
151012,Lima,Yauyos,Hongos,Hongos,-12.81083333,-75.76527778
151013,Lima,Yauyos,Huampara,Huampara,-12.36027778,-76.16722222
151014,Lima,Yauyos,Huancaya,Huancaya,-12.20333333,-75.79916667
151015,Lima,Yauyos,Huangascar,Huangascar,-12.89944444,-75.83194444
151016,Lima,Yauyos,Huantan,Huantan,-12.45638889,-75.81166667
151017,Lima,Yauyos,Huañec,Huañec,-12.29388889,-76.13861111
151018,Lima,Yauyos,Laraos,Laraos,-12.34666667,-75.78583333
151019,Lima,Yauyos,Lincha,Lincha,-12.79972222,-75.66666667
151020,Lima,Yauyos,Madean,Madean,-12.94444444,-75.77722222
151021,Lima,Yauyos,Miraflores,Miraflores,-12.27444444,-75.85027778
151022,Lima,Yauyos,Omas,Omas,-12.51472222,-76.28944444
151023,Lima,Yauyos,Putinza,San Lorenzo de Putinza,-12.66805556,-75.94944444
151024,Lima,Yauyos,Quinches,Quinches,-12.30777778,-76.14333333
151025,Lima,Yauyos,Quinocay,Quinocay,-12.36222222,-76.22638889
151026,Lima,Yauyos,San Joaquín,San Joaquín,-12.28388889,-76.14694444
151027,Lima,Yauyos,San Pedro de Pilas,San Pedro de Pilas,-12.45444444,-76.22694444
151028,Lima,Yauyos,Tanta,Tanta,-12.12222222,-76.01333333
151029,Lima,Yauyos,Tauripampa,Tauripampa,-12.61722222,-76.16194444
151030,Lima,Yauyos,Tomás,Tomás,-12.23777778,-75.745
151031,Lima,Yauyos,Tupe,Tupe,-12.74111111,-75.80944444
151032,Lima,Yauyos,Viñac,Viñac,-12.93111111,-75.78
151033,Lima,Yauyos,Vitis,Vitis,-12.22388889,-75.80805556
160101,Loreto,Maynas,Iquitos,Iquitos,-3.74805556,-73.24416667
160102,Loreto,Maynas,Alto Nanay,Santa María de Nanay,-3.88833333,-73.6975
160103,Loreto,Maynas,Fernando Lores,Tamshiyacu,-4.00166667,-73.15694444
160104,Loreto,Maynas,Indiana,Indiana,-3.50027778,-73.04111111
160105,Loreto,Maynas,Las Amazonas,Francisco de Orellana,-3.42305556,-72.76444444
160106,Loreto,Maynas,Mazan,Mazan,-3.48861111,-73.08166667
160107,Loreto,Maynas,Napo,Santa Clotilde,-2.48916667,-73.67611111
160108,Loreto,Maynas,Punchana,Punchana,-3.72861111,-73.24194444
160110,Loreto,Maynas,Torres Causana,Pantoja,-0.97055556,-75.17416667
160112,Loreto,Maynas,Belén,Belén,-3.76916667,-73.26
160113,Loreto,Maynas,San Juan Bautista,San Juan,-3.77027778,-73.28027778
160201,Loreto,Alto Amazonas,Yurimaguas,Yurimaguas,-5.88416667,-76.12805556
160202,Loreto,Alto Amazonas,Balsapuerto,Balsapuerto,-5.83333333,-76.55972222
160205,Loreto,Alto Amazonas,Jeberos,Jeberos,-5.29083333,-76.28333333
160206,Loreto,Alto Amazonas,Lagunas,Lagunas,-5.22388889,-75.675
160210,Loreto,Alto Amazonas,Santa Cruz,Santa Cruz,-5.51333333,-75.85888889
160211,Loreto,Alto Amazonas,Teniente César López Rojas,Shucushuyacu,-6.02555556,-75.87416667
160301,Loreto,Loreto,Nauta,Nauta,-4.50138889,-73.56944444
160302,Loreto,Loreto,Parinari,Parinari,-4.63166667,-74.46305556
160303,Loreto,Loreto,Tigre,Intutu,-3.48972222,-74.78166667
160304,Loreto,Loreto,Trompeteros,Villa Trompeteros,-3.805,-75.06055556
160305,Loreto,Loreto,Urarinas,Concordia,-4.5875,-74.76722222
160401,Loreto,Mariscal Ramón Castilla,Ramón Castilla,Caballococha,-3.90611111,-70.51694444
160402,Loreto,Mariscal Ramón Castilla,Pebas,Pebas,-3.32027778,-71.86194444
160403,Loreto,Mariscal Ramón Castilla,Yavari,Amelia,-4.35361111,-70.04166667
160404,Loreto,Mariscal Ramón Castilla,San Pablo,San Pablo de Loreto,-4.02027778,-71.10305556
160501,Loreto,Requena,Requena,Requena,-5.06388889,-73.85666667
160502,Loreto,Requena,Alto Tapiche,Santa Elena,-6.02555556,-74.09416667
160503,Loreto,Requena,Capelo,Flor de Punga,-5.40527778,-74.15777778
160504,Loreto,Requena,Emilio San Martín,Tamanco,-5.79361111,-74.28388889
160505,Loreto,Requena,Maquia,Santa Isabel,-5.74972222,-74.53777778
160506,Loreto,Requena,Puinahua,Bretaña,-5.25555556,-74.34555556
160507,Loreto,Requena,Saquena,Bagazan,-4.725,-73.53305556
160508,Loreto,Requena,Soplin,Nueva Alejandria (Curinga),-6.00777778,-73.6925
160509,Loreto,Requena,Tapiche,Iberia,-5.69361111,-74.13777778
160510,Loreto,Requena,Jenaro Herrera,Jenaro Herrera,-4.90361111,-73.67055556
160511,Loreto,Requena,Yaquerana,Angamos,-5.14888889,-72.87527778
160601,Loreto,Ucayali,Contamana,Contamana,-7.35055556,-75.00972222
160602,Loreto,Ucayali,Inahuaya,Inahuaya,-7.11694444,-75.2625
160603,Loreto,Ucayali,Padre Márquez,Tiruntan,-7.94666667,-74.84083333
160604,Loreto,Ucayali,Pampa Hermosa,Pampa Hermosa,-7.19638889,-75.29444444
160605,Loreto,Ucayali,Sarayacu,Dos de Mayo,-6.39305556,-75.11694444
160606,Loreto,Ucayali,Vargas Guerra,Orellana,-6.91111111,-75.15888889
160701,Loreto,Datem del Marañón,Barranca,San Lorenzo,-4.83111111,-76.555
160702,Loreto,Datem del Marañón,Cahuapanas,Santa Maria de Cahuapanas,-5.24916667,-77.04138889
160703,Loreto,Datem del Marañón,Manseriche,Saramiriza,-4.56361111,-77.41722222
160704,Loreto,Datem del Marañón,Morona,Puerto Alegria,-4.32638889,-77.21611111
160705,Loreto,Datem del Marañón,Pastaza,Ullpayacu,-4.65111111,-76.5875
160706,Loreto,Datem del Marañón,Andoas,Alianza Cristiana,-3.47555556,-76.43361111
160801,Loreto,Putumayo,Putumayo,San Antonio del Estrecho,-2.44694444,-72.66805556
160802,Loreto,Putumayo,Rosa Panduro,Santa Mercedes,-1.78861111,-73.41305556
160803,Loreto,Putumayo,Teniente Manuel Clavero,Soplin Vargas,-0.37333333,-74.67583333
160804,Loreto,Putumayo,Yaguas,Remanso,-2.40805556,-71.17666667
170101,Madre de Dios,Tambopata,Tambopata,Puerto Maldonado,-12.59361111,-69.17666667
170102,Madre de Dios,Tambopata,Inambari,Mazuko,-13.10138889,-70.37166667
170103,Madre de Dios,Tambopata,Las Piedras,Las Piedras (Planchon),-12.27916667,-69.15027778
170104,Madre de Dios,Tambopata,Laberinto,Puerto Rosario de Laberinto,-12.71722222,-69.58666667
170201,Madre de Dios,Manu,Manu,Salvación,-12.83722222,-71.36527778
170202,Madre de Dios,Manu,Fitzcarrald,Boca Manu,-12.26527778,-70.91
170203,Madre de Dios,Manu,Madre de Dios,Boca Colorado,-12.61861111,-70.39416667
170204,Madre de Dios,Manu,Huepetuhe,Huepetuhe,-12.99361111,-70.52722222
170301,Madre de Dios,Tahuamanu,Iñapari,Iñapari,-10.945,-69.57666667
170302,Madre de Dios,Tahuamanu,Iberia,Iberia,-11.41083333,-69.48694444
170303,Madre de Dios,Tahuamanu,Tahuamanu,San Lorenzo,-11.45472222,-69.32138889
180101,Moquegua,Mariscal Nieto,Moquegua,Moquegua,-17.19416667,-70.93333333
180102,Moquegua,Mariscal Nieto,Carumas,Carumas,-16.80916667,-70.69472222
180103,Moquegua,Mariscal Nieto,Cuchumbaya,Cuchumbaya,-16.75083333,-70.68611111
180104,Moquegua,Mariscal Nieto,Samegua,Samegua,-17.18222222,-70.90027778
180105,Moquegua,Mariscal Nieto,San Cristóbal,Calacoa,-16.73916667,-70.68333333
180106,Moquegua,Mariscal Nieto,Torata,Torata,-17.07666667,-70.84416667
180107,Moquegua,Mariscal Nieto,San Antonio,San Antonio,-17.20777778,-70.95036111
180201,Moquegua,General Sánchez Cerro,Omate,Omate,-16.67361111,-70.97055556
180202,Moquegua,General Sánchez Cerro,Chojata,Chojata,-16.38833333,-70.73027778
180203,Moquegua,General Sánchez Cerro,Coalaque,Coalaque,-16.64888889,-71.02166667
180204,Moquegua,General Sánchez Cerro,Ichuña,Ichuña,-16.14055556,-70.53555556
180205,Moquegua,General Sánchez Cerro,La Capilla,La Capilla,-16.75666667,-71.17916667
180206,Moquegua,General Sánchez Cerro,Lloque,Lloque,-16.32388889,-70.73861111
180207,Moquegua,General Sánchez Cerro,Matalaque,Matalaque,-16.48111111,-70.82666667
180208,Moquegua,General Sánchez Cerro,Puquina,Puquina,-16.62527778,-71.18388889
180209,Moquegua,General Sánchez Cerro,Quinistaquillas,Quinistaquillas,-16.74888889,-70.88027778
180210,Moquegua,General Sánchez Cerro,Ubinas,Ubinas,-16.38666667,-70.85555556
180211,Moquegua,General Sánchez Cerro,Yunga,Yunga,-16.195,-70.67777778
180301,Moquegua,Ilo,Ilo,Ilo,-17.625,-71.34333333
180302,Moquegua,Ilo,El Algarrobal,El Algarrobal,-17.62277778,-71.26833333
180303,Moquegua,Ilo,Pacocha,Pueblo Nuevo,-17.61083333,-71.34027778
190101,Pasco,Pasco,Chaupimarca,Cerro de Pasco,-10.6825,-76.25694444
190102,Pasco,Pasco,Huachón,Huachón,-10.63638889,-75.95111111
190103,Pasco,Pasco,Huariaca,Huariaca,-10.43916667,-76.19166667
190104,Pasco,Pasco,Huayllay,Huayllay,-11.00194444,-76.36472222
190105,Pasco,Pasco,Ninacaca,Ninacaca,-10.85555556,-76.11305556
190106,Pasco,Pasco,Pallanchacra,Pallanchacra,-10.41527778,-76.23555556
190107,Pasco,Pasco,Paucartambo,Paucartambo,-10.77444444,-75.81333333
190108,Pasco,Pasco,San Francisco de Asís de Yarusyacán,Yarusyacán,-10.49,-76.19611111
190109,Pasco,Pasco,Simón Bolívar,San Antonio de Rancas,-10.68916667,-76.31638889
190110,Pasco,Pasco,Ticlacayan,Ticlacayan,-10.535,-76.16416667
190111,Pasco,Pasco,Tinyahuarco,Tinyahuarco (Smelter),-10.76972222,-76.27694444
190112,Pasco,Pasco,Vicco,Vicco,-10.83833333,-76.23833333
190113,Pasco,Pasco,Yanacancha,Yanacancha,-10.66333333,-76.25305556
190201,Pasco,Daniel Alcides Carrión,Yanahuanca,Yanahuanca,-10.49138889,-76.51638889
190202,Pasco,Daniel Alcides Carrión,Chacayan,Chacayan,-10.43444444,-76.43722222
190203,Pasco,Daniel Alcides Carrión,Goyllarisquizga,Goyllarisquizga,-10.47305556,-76.40833333
190204,Pasco,Daniel Alcides Carrión,Paucar,Paucar,-10.37111111,-76.44333333
190205,Pasco,Daniel Alcides Carrión,San Pedro de Pillao,San Pedro de Pillao,-10.43888889,-76.49527778
190206,Pasco,Daniel Alcides Carrión,Santa Ana de Tusi,Santa Ana de Tusi,-10.4725,-76.35361111
190207,Pasco,Daniel Alcides Carrión,Tapuc,Tapuc,-10.45472222,-76.4625
190208,Pasco,Daniel Alcides Carrión,Vilcabamba,Vilcabamba,-10.47861111,-76.44694444
190301,Pasco,Oxapampa,Oxapampa,Oxapampa,-10.575,-75.40472222
190302,Pasco,Oxapampa,Chontabamba,Chontabamba,-10.60222222,-75.43888889
190303,Pasco,Oxapampa,Huancabamba,Huancabamba,-10.42611111,-75.52388889
190304,Pasco,Oxapampa,Palcazu,Iscozacin,-10.18416667,-75.14805556
190305,Pasco,Oxapampa,Pozuzo,Pozuzo,-10.07111111,-75.55027778
190306,Pasco,Oxapampa,Puerto Bermúdez,Puerto Bermúdez,-10.29916667,-74.93722222
190307,Pasco,Oxapampa,Villa Rica,Villa Rica,-10.73916667,-75.27583333
190308,Pasco,Oxapampa,Constitución,Constitución,-9.85638889,-75.01694444
200101,Piura,Piura,Piura,Piura,-5.1525,-80.65777778
200104,Piura,Piura,Castilla,Castilla,-5.20138889,-80.62277778
200105,Piura,Piura,Catacaos,Catacaos,-5.26722222,-80.6725
200107,Piura,Piura,Cura Mori,Cucungara,-5.32361111,-80.66555556
200108,Piura,Piura,El Tallán,Sinchao,-5.40916667,-80.68111111
200109,Piura,Piura,La Arena,La Arena,-5.34305556,-80.70361111
200110,Piura,Piura,La Unión,La Unión,-5.38833333,-80.73722222
200111,Piura,Piura,Las Lomas,Las Lomas,-4.65,-80.23916667
200114,Piura,Piura,Tambo Grande,Tambo Grande,-4.92805556,-80.33722222
200115,Piura,Piura,Veintiséis de Octubre,San Martín,-5.17916667,-80.67805556
200201,Piura,Ayabaca,Ayabaca,Ayabaca,-4.64055556,-79.71527778
200202,Piura,Ayabaca,Frías,Frías,-4.93166667,-79.9475
200203,Piura,Ayabaca,Jilili,Jilili,-4.58472222,-79.79722222
200204,Piura,Ayabaca,Lagunas,Lagunas,-4.78916667,-79.845
200205,Piura,Ayabaca,Montero,Montero,-4.63222222,-79.82888889
200206,Piura,Ayabaca,Pacaipampa,Pacaipampa,-4.99555556,-79.66777778
200207,Piura,Ayabaca,Paimas,Paimas,-4.6275,-79.94555556
200208,Piura,Ayabaca,Sapillica,Sapillica,-4.77916667,-79.98222222
200209,Piura,Ayabaca,Sicchez,Sicchez,-4.57,-79.76388889
200210,Piura,Ayabaca,Suyo,Suyo,-4.51277778,-80.0025
200301,Piura,Huancabamba,Huancabamba,Huancabamba,-5.23861111,-79.45027778
200302,Piura,Huancabamba,Canchaque,Canchaque,-5.37583333,-79.60555556
200303,Piura,Huancabamba,El Carmen de La Frontera,Sapalache,-5.14833333,-79.42833333
200304,Piura,Huancabamba,Huarmaca,Huarmaca,-5.56805556,-79.52444444
200305,Piura,Huancabamba,Lalaquiz,Tunal,-5.21583333,-79.68
200306,Piura,Huancabamba,San Miguel de El Faique,San Miguel de El Faique,-5.40194444,-79.60611111
200307,Piura,Huancabamba,Sondor,Sondor,-5.31555556,-79.40972222
200308,Piura,Huancabamba,Sondorillo,Sondorillo,-5.33944444,-79.42861111
200401,Piura,Morropón,Chulucanas,Chulucanas,-5.09722222,-80.16027778
200402,Piura,Morropón,Buenos Aires,Buenos Aires,-5.26694444,-79.96694444
200403,Piura,Morropón,Chalaco,Chalaco,-5.04111111,-79.79555556
200404,Piura,Morropón,La Matanza,La Matanza,-5.21361111,-80.09055556
200405,Piura,Morropón,Morropón,Morropón,-5.18611111,-79.96916667
200406,Piura,Morropón,Salitral,Salitral,-5.34194444,-79.83361111
200407,Piura,Morropón,San Juan de Bigote,Bigote,-5.31944444,-79.78611111
200408,Piura,Morropón,Santa Catalina de Mossa,Paltashaco,-5.10277778,-79.885
200409,Piura,Morropón,Santo Domingo,Santo Domingo,-5.02944444,-79.87583333
200410,Piura,Morropón,Yamango,Yamango,-5.18083333,-79.75111111
200501,Piura,Paita,Paita,Paita,-5.09305556,-81.09944444
200502,Piura,Paita,Amotape,Amotape,-4.88194444,-81.01527778
200503,Piura,Paita,Arenal,Arenal,-4.88361111,-81.02638889
200504,Piura,Paita,Colan,San Lucas (Pueblo Nuevo de Colan),-4.90055556,-81.05638889
200505,Piura,Paita,La Huaca,La Huaca,-4.91027778,-80.96138889
200506,Piura,Paita,Tamarindo,Tamarindo,-4.87833333,-80.97583333
200507,Piura,Paita,Vichayal,San Felipe de Vichayal,-4.86416667,-81.07305556
200601,Piura,Sullana,Sullana,Sullana,-4.89055556,-80.68777778
200602,Piura,Sullana,Bellavista,Bellavista,-4.89,-80.68027778
200603,Piura,Sullana,Ignacio Escudero,San Jacinto,-4.84611111,-80.87305556
200604,Piura,Sullana,Lancones,Lancones,-4.63277778,-80.54555556
200605,Piura,Sullana,Marcavelica,Marcavelica,-4.88166667,-80.70361111
200606,Piura,Sullana,Miguel Checa,Sojo,-4.90027778,-80.81472222
200607,Piura,Sullana,Querecotillo,Querecotillo,-4.83916667,-80.64833333
200608,Piura,Sullana,Salitral,Salitral,-4.85694444,-80.68083333
200701,Piura,Talara,Pariñas,Talara,-4.57944444,-81.26944444
200702,Piura,Talara,El Alto,El Alto,-4.26861111,-81.22138889
200703,Piura,Talara,La Brea,Negritos,-4.65472222,-81.30583333
200704,Piura,Talara,Lobitos,Lobitos,-4.45694444,-81.285
200705,Piura,Talara,Los Órganos,Los Órganos,-4.17916667,-81.12944444
200706,Piura,Talara,Máncora,Máncora,-4.10694444,-81.05388889
200801,Piura,Sechura,Sechura,Sechura,-5.55722222,-80.82222222
200802,Piura,Sechura,Bellavista de La Unión,Bellavista,-5.44027778,-80.755
200803,Piura,Sechura,Bernal,Bernal,-5.45888889,-80.74194444
200804,Piura,Sechura,Cristo Nos Valga,San Cristo,-5.49305556,-80.74111111
200805,Piura,Sechura,Vice,Vice,-5.42222222,-80.77638889
200806,Piura,Sechura,Rinconada Llicuar,Dos Pueblos,-5.46361111,-80.76527778
210101,Puno,Puno,Puno,Puno,-15.84027778,-70.02805556
210102,Puno,Puno,Acora,Acora,-15.97361111,-69.79777778
210103,Puno,Puno,Amantani,Amantani,-15.65722222,-69.71833333
210104,Puno,Puno,Atuncolla,Atuncolla,-15.68833333,-70.14388889
210105,Puno,Puno,Capachica,Capachica,-15.64166667,-69.83083333
210106,Puno,Puno,Chucuito,Chucuito,-15.89472222,-69.88944444
210107,Puno,Puno,Coata,Coata,-15.57138889,-69.95055556
210108,Puno,Puno,Huata,Huata,-15.615,-69.97138889
210109,Puno,Puno,Mañazo,Mañazo,-15.80111111,-70.34333333
210110,Puno,Puno,Paucarcolla,Paucarcolla,-15.74555556,-70.05611111
210111,Puno,Puno,Pichacani,Laraqueri,-16.15,-70.06333333
210112,Puno,Puno,Platería,Platería,-15.94833333,-69.83333333
210113,Puno,Puno,San Antonio,San Antonio de Esquilache,-16.14055556,-70.34388889
210114,Puno,Puno,Tiquillaca,Tiquillaca,-15.79694444,-70.18666667
210115,Puno,Puno,Vilque,Vilque,-15.76666667,-70.25888889
210201,Puno,Azángaro,Azángaro,Azángaro,-14.90805556,-70.19555556
210202,Puno,Azángaro,Achaya,Achaya,-15.28472222,-70.16111111
210203,Puno,Azángaro,Arapa,Arapa,-15.13888889,-70.11
210204,Puno,Azángaro,Asillo,Asillo,-14.78638889,-70.35361111
210205,Puno,Azángaro,Caminaca,Caminaca,-15.32472222,-70.07277778
210206,Puno,Azángaro,Chupa,Chupa,-15.10583333,-69.98722222
210207,Puno,Azángaro,José Domingo Choquehuanca,Estación de Pucara,-15.03388889,-70.33805556
210208,Puno,Azángaro,Muñani,Muñani,-14.77083333,-69.95555556
210209,Puno,Azángaro,Potoni,Potoni,-14.39,-70.105
210210,Puno,Azángaro,Saman,Saman,-15.29194444,-70.01722222
210211,Puno,Azángaro,San Antón,San Antón,-14.58388889,-70.31722222
210212,Puno,Azángaro,San José,San José,-14.68027778,-70.16
210213,Puno,Azángaro,San Juan de Salinas,San Juan de Salinas,-14.99138889,-70.10611111
210214,Puno,Azángaro,Santiago de Pupuja,Santiago de Pupuja,-15.05277778,-70.27805556
210215,Puno,Azángaro,Tirapata,Tirapata,-14.955,-70.40277778
210301,Puno,Carabaya,Macusani,Macusani,-14.06861111,-70.43111111
210302,Puno,Carabaya,Ajoyani,Ajoyani,-14.22944444,-70.22361111
210303,Puno,Carabaya,Ayapata,Ayapata,-13.77666667,-70.32277778
210304,Puno,Carabaya,Coasa,Coasa,-13.98916667,-70.01583333
210305,Puno,Carabaya,Corani,Corani,-13.86861111,-70.60444444
210306,Puno,Carabaya,Crucero,Crucero,-14.36166667,-70.02361111
210307,Puno,Carabaya,Ituata,Ituata,-13.87638889,-70.21388889
210308,Puno,Carabaya,Ollachea,Ollachea,-13.79388889,-70.4725
210309,Puno,Carabaya,San Gabán,Lanlacuni Bajo,-13.43833333,-70.40277778
210310,Puno,Carabaya,Usicayos,Usicayos,-14.12527778,-69.9675
210401,Puno,Chucuito,Juli,Juli,-16.21277778,-69.45944444
210402,Puno,Chucuito,Desaguadero,Desaguadero,-16.56444444,-69.03944444
210403,Puno,Chucuito,Huacullani,Huacullani,-16.63055556,-69.32194444
210404,Puno,Chucuito,Kelluyo,Kelluyo,-16.72694444,-69.25027778
210405,Puno,Chucuito,Pisacoma,Pisacoma,-16.90861111,-69.37138889
210406,Puno,Chucuito,Pomata,Pomata,-16.27361111,-69.29277778
210407,Puno,Chucuito,Zepita,Zepita,-16.49694444,-69.10333333
210501,Puno,El Collao,Ilave,Ilave,-16.08694444,-69.63805556
210502,Puno,El Collao,Capazo,Capazo,-17.18388889,-69.74444444
210503,Puno,El Collao,Pilcuyo,Pilcuyo,-16.11083333,-69.55416667
210504,Puno,El Collao,Santa Rosa,Mazo Cruz,-16.74222222,-69.71666667
210505,Puno,El Collao,Conduriri,Conduriri,-16.62194444,-69.70861111
210601,Puno,Huancané,Huancané,Huancané,-15.20083333,-69.76777778
210602,Puno,Huancané,Cojata,Cojata,-15.01527778,-69.36555556
210603,Puno,Huancané,Huatasani,Huatasani,-15.05944444,-69.80194444
210604,Puno,Huancané,Inchupalla,Inchupalla,-15.00972222,-69.68277778
210605,Puno,Huancané,Pusi,Pusi,-15.44194444,-69.92972222
210606,Puno,Huancané,Rosaspata,Rosaspata,-15.23472222,-69.5275
210607,Puno,Huancané,Taraco,Taraco,-15.29722222,-69.97833333
210608,Puno,Huancané,Vilque Chico,Vilque Chico,-15.21388889,-69.68916667
210701,Puno,Lampa,Lampa,Lampa,-15.36472222,-70.36777778
210702,Puno,Lampa,Cabanilla,Cabanilla,-15.62027778,-70.34555556
210703,Puno,Lampa,Calapuja,Calapuja,-15.31055556,-70.22166667
210704,Puno,Lampa,Nicasio,Nicasio,-15.23555556,-70.26111111
210705,Puno,Lampa,Ocuviri,Ocuviri,-15.11388889,-70.90916667
210706,Puno,Lampa,Palca,Palca,-15.23694444,-70.59805556
210707,Puno,Lampa,Paratia,Paratia,-15.45416667,-70.59972222
210708,Puno,Lampa,Pucará,Pucará,-15.04166667,-70.36777778
210709,Puno,Lampa,Santa Lucía,Santa Lucía,-15.69944444,-70.60638889
210710,Puno,Lampa,Vilavila,Vilavila,-15.18833333,-70.66
210801,Puno,Melgar,Ayaviri,Ayaviri,-14.88166667,-70.58944444
210802,Puno,Melgar,Antauta,Antauta,-14.29972222,-70.29222222
210803,Puno,Melgar,Cupi,Cupi,-14.905,-70.86666667
210804,Puno,Melgar,Llalli,Llalli,-14.94805556,-70.88055556
210805,Puno,Melgar,Macari,Macari,-14.77166667,-70.90333333
210806,Puno,Melgar,Nuñoa,Nuñoa,-14.47611111,-70.63638889
210807,Puno,Melgar,Orurillo,Orurillo,-14.72777778,-70.51222222
210808,Puno,Melgar,Santa Rosa,Santa Rosa,-14.6075,-70.78777778
210809,Puno,Melgar,Umachiri,Umachiri,-14.85388889,-70.75388889
210901,Puno,Moho,Moho,Moho,-15.36027778,-69.49972222
210902,Puno,Moho,Conima,Conima,-15.45777778,-69.43777778
